month,grid_id,lon,lat,era5_lon,era5_lat,u10_m_s,v10_m_s,wind_speed_m_s,wind_direction_from_deg,source_status
2024-01-01,G025_R380_C1132,103.125,-5.125,103.0,-5.0,1.1433134078979492,-0.8552455902099609,1.4277992044586685,306.798004081529,ok
2024-01-01,G025_R380_C1133,103.375,-5.125,103.25,-5.0,0.9514188766479492,-0.8254604339599609,1.259596287258506,310.945231015999,ok
2024-01-01,G025_R380_C1134,103.625,-5.125,103.5,-5.0,0.9929227828979492,-0.5266323089599609,1.123938273055201,297.9408515367906,ok
2024-01-01,G025_R380_C1135,103.875,-5.125,103.75,-5.0,0.7639188766479492,-0.05641746520996094,0.7659993345165398,274.22377953095486,ok
2024-01-01,G025_R380_C1143,105.875,-5.125,105.75,-5.0,1.2668485641479492,-0.29176902770996094,1.3000132499380677,282.96968141873936,ok
2024-01-01,G025_R380_C1144,106.125,-5.125,106.0,-5.0,2.467043876647949,-0.32253074645996094,2.4880376949954277,277.448361064668,ok
2024-01-01,G025_R380_C1145,106.375,-5.125,106.25,-5.0,3.447024345397949,-0.34596824645996094,3.464342775379587,275.73142414522425,ok
2024-01-01,G025_R380_C1146,106.625,-5.125,106.5,-5.0,4.110110282897949,-0.38356590270996094,4.127969154354859,275.33154541430224,ok
2024-01-01,G025_R380_C1147,106.875,-5.125,106.75,-5.0,4.542727470397949,-0.40602684020996094,4.5608366190074205,275.10749786506284,ok
2024-01-01,G025_R381_C1132,103.125,-5.375,103.0,-5.25,1.5520048141479492,-0.7844448089599609,1.7389860843154095,296.81384460626026,ok
2024-01-01,G025_R381_C1133,103.375,-5.375,103.25,-5.25,1.5451688766479492,-0.9470424652099609,1.8123013789854174,301.5043604225318,ok
2024-01-01,G025_R381_C1134,103.625,-5.375,103.5,-5.25,1.6169462203979492,-0.8654994964599609,1.834013210975226,298.1587161163429,ok
2024-01-01,G025_R381_C1135,103.875,-5.375,103.75,-5.25,1.3205595016479492,-0.5671596527099609,1.4372012625428505,293.2427664100104,ok
2024-01-01,G025_R381_C1143,105.875,-5.375,105.75,-5.25,1.4294462203979492,0.08713722229003906,1.4320996447588437,266.5116388075402,ok
2024-01-01,G025_R381_C1144,106.125,-5.375,106.0,-5.25,2.709719657897949,0.22629737854003906,2.7191526488839632,265.22612353906936,ok
2024-01-01,G025_R381_C1145,106.375,-5.375,106.25,-5.25,3.700442314147949,0.22922706604003906,3.7075353495471832,266.45529329468866,ok
2024-01-01,G025_R381_C1146,106.625,-5.375,106.5,-5.25,4.407473564147949,0.17405128479003906,4.410908871015144,267.7385627224519,ok
2024-01-01,G025_R381_C1147,106.875,-5.375,106.75,-5.25,4.762942314147949,0.023660659790039062,4.76300108279672,269.71537660845615,ok
2024-01-01,G025_R382_C1132,103.125,-5.625,103.0,-5.5,1.9128446578979492,-0.6745815277099609,2.028308389465524,289.4256474010193,ok
2024-01-01,G025_R382_C1133,103.375,-5.625,103.25,-5.5,1.9797391891479492,-0.7444057464599609,2.1150667063737707,290.6068643789815,ok
2024-01-01,G025_R382_C1134,103.625,-5.625,103.5,-5.5,2.037356376647949,-0.8698940277099609,2.215296058072943,293.12112291412257,ok
2024-01-01,G025_R382_C1135,103.875,-5.625,103.75,-5.5,1.9602079391479492,-1.149679183959961,2.2724826491591728,300.39199767778575,ok
2024-01-01,G025_R382_C1136,104.125,-5.625,104.0,-5.5,1.6403837203979492,-1.202901840209961,2.034166066801609,306.2527878743359,ok
2024-01-01,G025_R382_C1138,104.625,-5.625,104.5,-5.5,0.9768095016479492,-0.17165184020996094,0.9917767676030634,279.96665889479857,ok
2024-01-01,G025_R382_C1141,105.375,-5.625,105.25,-5.5,1.0632352828979492,0.5983676910400391,1.2200463763643044,240.63005541648437,ok
2024-01-01,G025_R382_C1143,105.875,-5.625,105.75,-5.5,1.6906766891479492,0.5373325347900391,1.7740106877277149,252.36865119649397,ok
2024-01-01,G025_R382_C1144,106.125,-5.625,106.0,-5.5,3.187258720397949,0.8366489410400391,3.2952389293185087,255.29180496220067,ok
2024-01-01,G025_R382_C1145,106.375,-5.625,106.25,-5.5,4.180422782897949,0.8024692535400391,4.256746591782196,259.1337472038347,ok
2024-01-01,G025_R382_C1146,106.625,-5.625,106.5,-5.5,4.605715751647949,0.5680942535400391,4.640619426960505,262.96834076733364,ok
2024-01-01,G025_R382_C1147,106.875,-5.625,106.75,-5.5,4.887454032897949,0.34055519104003906,4.899304518177528,266.01410311539905,ok
2024-01-01,G025_R383_C1132,103.125,-5.875,103.0,-5.75,2.082766532897949,-0.5818080902099609,2.1625025050606315,285.6073807778792,ok
