grid_id,lon,lat,n_months,n_chla_observed,chla_mean_mg_m3,chla_median_mg_m3,sst_mean_c,wind_speed_mean_m_s,chla_availability_fraction
G025_R380_C1132,103.125,-5.125,276,274,0.2853044664233581,0.15016348259956805,28.992923715809596,3.5295633844316563,0.9927536231884058
G025_R380_C1133,103.375,-5.125,276,273,0.3449531598012806,0.1898127087810931,29.002874626980105,3.1207763603540255,0.9891304347826086
G025_R380_C1134,103.625,-5.125,276,266,0.490575666751528,0.26989088203225997,28.999470699669132,2.58990280100736,0.9637681159420289
G025_R380_C1135,103.875,-5.125,276,248,0.8220710345225237,0.34642571681904233,28.97939688717434,1.45142275947949,0.8985507246376812
G025_R380_C1143,105.875,-5.125,276,256,2.861821816956862,2.656026988960824,29.343378714217206,1.2099258893468088,0.927536231884058
G025_R380_C1144,106.125,-5.125,276,268,1.3391537305796566,1.1581599772951248,29.335836433956647,2.3536228273514737,0.9710144927536232
G025_R380_C1145,106.375,-5.125,276,268,0.8918130732281896,0.671587499127159,29.327292776387598,2.891391485599804,0.9710144927536232
G025_R380_C1146,106.625,-5.125,276,266,0.7691912529393812,0.5926068856413718,29.31832085225316,3.1679288374153307,0.9637681159420289
G025_R380_C1147,106.875,-5.125,276,266,0.6855072758612434,0.5684250536500639,29.307095666608298,3.359871581842851,0.9637681159420289
G025_R381_C1132,103.125,-5.375,276,273,0.2682504909573942,0.1317718446055499,28.936506255533,3.8002726610845547,0.9891304347826086
G025_R381_C1133,103.375,-5.375,276,275,0.2878665358066735,0.1413190747711576,28.95459440347947,3.746269479365815,0.9963768115942029
G025_R381_C1134,103.625,-5.375,276,272,0.3225982784896073,0.1615212920130863,28.953539834607284,3.617359943439786,0.9855072463768116
G025_R381_C1135,103.875,-5.375,276,266,0.5211898391845012,0.23844537707900093,28.93528067511083,2.7155001938611285,0.9637681159420289
G025_R381_C1143,105.875,-5.375,276,259,1.9987899299126746,2.018638521781851,29.313147485502263,1.1841693691602913,0.9384057971014492
G025_R381_C1144,106.125,-5.375,276,267,0.8561527511410001,0.7287807429084132,29.31109538919282,2.19647155801715,0.967391304347826
G025_R381_C1145,106.375,-5.375,276,272,0.7003641960797781,0.5781847172580883,29.30883184156376,2.6708669575356954,0.9855072463768116
G025_R381_C1146,106.625,-5.375,276,273,0.6671767645878669,0.5555493052520205,29.305577195064874,2.9966490548353333,0.9891304347826086
G025_R381_C1147,106.875,-5.375,276,269,0.6249042195583717,0.5384819705195173,29.30016020227253,3.2379399490779055,0.9746376811594203
G025_R382_C1132,103.125,-5.625,276,273,0.23405048083089441,0.1228991557793427,28.8705477263101,4.094827861969287,0.9891304347826086
G025_R382_C1133,103.375,-5.625,276,272,0.26631997285746695,0.132643595503178,28.889784055067853,3.9935437094883617,0.9855072463768116
G025_R382_C1134,103.625,-5.625,276,271,0.32118847753617463,0.1387862682855206,28.89058733220383,3.9338794039442844,0.9818840579710145
G025_R382_C1135,103.875,-5.625,276,268,0.40393614697397207,0.1584296660039194,28.87698566040415,3.8041298780678723,0.9710144927536232
G025_R382_C1136,104.125,-5.625,276,265,0.6705582156379648,0.3100426978825691,28.867082915351073,2.945626664169805,0.9601449275362319
G025_R382_C1138,104.625,-5.625,276,241,0.658611452473793,0.5830981050408415,28.902962225136164,1.1110977490016012,0.8731884057971014
G025_R382_C1141,105.375,-5.625,276,245,0.7623559608127645,0.654231265780226,29.142328203960492,1.0495340257489447,0.8876811594202898
G025_R382_C1143,105.875,-5.625,276,260,1.2452062473095682,1.2355586581980034,29.27178162957382,1.2041366444379213,0.9420289855072463
G025_R382_C1144,106.125,-5.625,276,268,0.6217490326786194,0.5529433342040844,29.279498876365523,2.0923238866732876,0.9710144927536232
G025_R382_C1145,106.375,-5.625,276,268,0.583917034346427,0.5272069273613142,29.283679013092197,2.559045023558922,0.9710144927536232
G025_R382_C1146,106.625,-5.625,276,270,0.6072975331812764,0.561338422456621,29.285723151995143,2.810029257839521,0.9782608695652174
G025_R382_C1147,106.875,-5.625,276,268,0.4743893106303317,0.4437569994893026,29.284570878619846,3.0684611287964287,0.9710144927536232
G025_R383_C1132,103.125,-5.875,276,269,0.20456628321113385,0.1225516483726324,28.799903702705905,4.268761126544583,0.9746376811594203
G025_R383_C1133,103.375,-5.875,276,267,0.2401391081059481,0.1279342046261995,28.815267354409027,4.3006258154554375,0.967391304347826
G025_R383_C1134,103.625,-5.875,276,270,0.3103812490035478,0.1323868321472649,28.817648309794087,4.22346667751113,0.9782608695652174
G025_R383_C1135,103.875,-5.875,276,269,0.4139469809238307,0.1443062207239054,28.81040513379523,4.185182688835021,0.9746376811594203
G025_R383_C1136,104.125,-5.875,276,266,0.5009323330757576,0.16954906346710705,28.815473452981625,4.1010341775326395,0.9637681159420289
G025_R383_C1137,104.375,-5.875,276,266,0.7054144188505937,0.31067299481028965,28.845048827400753,3.478386643475167,0.9637681159420289
G025_R383_C1139,104.875,-5.875,276,269,0.40083952424094016,0.288354282661921,28.975184503901957,2.0614450113935012,0.9746376811594203
G025_R383_C1140,105.125,-5.875,276,271,0.5392301118757525,0.3890150169660359,29.06945890314398,2.395769382619292,0.9818840579710145
G025_R383_C1141,105.375,-5.875,276,264,0.6716235012289686,0.5714331049191658,29.13817864732297,2.5197409818740413,0.9565217391304348
G025_R383_C1142,105.625,-5.875,276,258,0.7766458392383911,0.6940390485541023,29.17871516093202,2.083955793883835,0.9347826086956522
G025_R383_C1143,105.875,-5.875,276,261,0.8254930289532555,0.7850063930532566,29.225157710150917,1.3391809245062383,0.9456521739130435
G025_R383_C1144,106.125,-5.875,276,266,1.3335120408585073,1.3320465224833757,29.254109971832293,1.7469152354044528,0.9637681159420289
G025_R383_C1145,106.375,-5.875,276,269,1.705932116641163,1.7019062977317123,29.264185009040382,2.158600935469963,0.9746376811594203
G025_R383_C1146,106.625,-5.875,276,270,1.6720069242648004,1.5940423853413996,29.27001697510736,2.4003894795293115,0.9782608695652174
G025_R383_C1147,106.875,-5.875,276,267,1.921342267893961,1.6072196811850332,29.27275861458649,2.7200616651977216,0.967391304347826
G025_R384_C1132,103.125,-6.125,276,268,0.2122448901318666,0.12301829977729384,28.736929106357692,4.4234534620165356,0.9710144927536232
G025_R384_C1133,103.375,-6.125,276,267,0.2545761277278273,0.1289158748773957,28.74932789919441,4.408691346203152,0.967391304347826
G025_R384_C1134,103.625,-6.125,276,265,0.342492851911107,0.1329683519691002,28.754619906740412,4.435795844026346,0.9601449275362319
G025_R384_C1135,103.875,-6.125,276,268,0.4494378764043224,0.13759705601721683,28.75765808239046,4.3402656273384785,0.9710144927536232
G025_R384_C1136,104.125,-6.125,276,268,0.5013843623120824,0.15470937159712417,28.77635007909424,4.3027627189246,0.9710144927536232
G025_R384_C1137,104.375,-6.125,276,269,0.48768430815708347,0.1966032148194774,28.824983401021004,4.1531850368527214,0.9746376811594203
G025_R384_C1138,104.625,-6.125,276,271,0.4873113413578278,0.282595113442427,28.898482042374372,3.85264957770906,0.9818840579710145
G025_R384_C1139,104.875,-6.125,276,274,0.45786219176223525,0.2732395612396773,28.987287264205573,3.5291008009416918,0.9927536231884058
G025_R384_C1140,105.125,-6.125,276,272,0.5031347307603775,0.346615786467908,29.071368606896165,3.3660453936758725,0.9855072463768116
G025_R384_C1141,105.375,-6.125,276,271,0.6041105370965578,0.5434815413076829,29.12717005813031,3.1030497131512162,0.9818840579710145
G025_R384_C1142,105.625,-6.125,276,263,0.6070605111887076,0.5914414818544201,29.158988659231646,2.7527619898015376,0.9528985507246377
G025_R385_C1132,103.125,-6.375,276,268,0.23550729690248404,0.11667701908759075,28.684315205559834,4.553681600540594,0.9710144927536232
G025_R385_C1133,103.375,-6.375,276,268,0.29487729844299315,0.12427513746411095,28.695461858268317,4.543708426641879,0.9710144927536232
G025_R385_C1134,103.625,-6.375,276,267,0.3810895771873035,0.1301910411110557,28.705751063424792,4.535241381682405,0.967391304347826
G025_R385_C1135,103.875,-6.375,276,265,0.4617579407372044,0.1366563312249965,28.720447112910108,4.556460793616057,0.9601449275362319
G025_R385_C1136,104.125,-6.375,276,268,0.49982420863295524,0.1475413236851024,28.751675851155884,4.482906756224587,0.9710144927536232
G025_R385_C1137,104.375,-6.375,276,269,0.48574441189115697,0.1782078348819305,28.80926019017753,4.465340058323903,0.9746376811594203
G025_R385_C1138,104.625,-6.375,276,270,0.4414712886382515,0.2189160004807448,28.885168715781585,4.317017192559943,0.9782608695652174
G025_R385_C1139,104.875,-6.375,276,274,0.4348834188942559,0.28935335911939086,28.96548668375698,4.215166881127145,0.9927536231884058
G025_R385_C1140,105.125,-6.375,276,272,0.46791311396964325,0.39928196355504864,29.02575031949355,4.000995603996512,0.9855072463768116
G025_R385_C1141,105.375,-6.375,276,271,0.5028015288262697,0.4803832274740032,29.05340901391038,3.6476512791517877,0.9818840579710145
G025_R385_C1142,105.625,-6.375,276,262,0.7300565071039715,0.6899501507517578,29.07221523979073,3.217359975456825,0.9492753623188406
G025_R386_C1132,103.125,-6.625,276,265,0.23856734578404745,0.1138378576717449,28.646182690340222,4.627438706880515,0.9601449275362319
G025_R386_C1133,103.375,-6.625,276,265,0.29532824343910485,0.119651720298922,28.65830327248343,4.669022479036408,0.9601449275362319
G025_R386_C1134,103.625,-6.625,276,267,0.34885528160388757,0.1297489993975552,28.672914896962364,4.643844269685538,0.967391304347826
