horizon,rmse_ARX,rmse_ARX_spatial,mae_ARX,mae_ARX_spatial,rmse_gain_percent,mae_gain_percent,median_moran_i_ARX,median_moran_i_ARX_spatial,proporsi_positif_signifikan_ARX,proporsi_positif_signifikan_ARX_spatial,spatial_lag_menurunkan_galat,spatial_lag_menurunkan_moran_residual,keputusan
1,0.3419990467948121,0.3358768899884101,0.25719812235821754,0.25298711391413575,1.790109318659908,1.6372625139995485,0.6145506975257503,0.6132120528573717,1,1,TRUE,TRUE,GSTARX layak diuji lebih lanjut
2,0.38859362665770525,0.38655483208687913,0.29718635224263135,0.29510043473456515,0.5246598067914279,0.7018887281752396,0.6155880619753153,0.6337850068306969,1,1,TRUE,FALSE,Bukti masih campuran
3,0.41695985177400524,0.41695073394908483,0.31775207154977325,0.31773666324487226,0.0021867392943516785,0.004849159543110735,0.6764758090255263,0.6742768767616958,1,1,TRUE,TRUE,GSTARX layak diuji lebih lanjut
