grid_id,lon,lat,n_month,n_chla,availability,chla_mean,chla_median,chla_sd,peak_month
G025_R380_C1132,103.125,-5.125,276,274,0.9927536231884058,0.2853044664233581,0.15016348259956805,0.6531918651178074,9
G025_R380_C1133,103.375,-5.125,276,273,0.9891304347826086,0.3449531598012806,0.1898127087810931,0.6528579965659985,9
G025_R380_C1134,103.625,-5.125,276,266,0.9637681159420289,0.4905756667515279,0.26989088203225997,1.1806844706895836,8
G025_R380_C1135,103.875,-5.125,276,248,0.8985507246376812,0.8220710345225237,0.34642571681904233,2.9300533849015498,9
G025_R380_C1143,105.875,-5.125,276,256,0.927536231884058,2.861821816956862,2.656026988960824,0.88258233606448,2
G025_R380_C1144,106.125,-5.125,276,268,0.9710144927536232,1.3391537305796566,1.1581599772951248,0.6473303031042449,2
G025_R380_C1145,106.375,-5.125,276,268,0.9710144927536232,0.8918130732281896,0.671587499127159,0.5204883413002003,2
G025_R380_C1146,106.625,-5.125,276,266,0.9637681159420289,0.7691912529393813,0.5926068856413718,0.4130130177178258,2
G025_R380_C1147,106.875,-5.125,276,266,0.9637681159420289,0.6855072758612434,0.5684250536500639,0.32685364908155945,1
G025_R381_C1132,103.125,-5.375,276,273,0.9891304347826086,0.2682504909573942,0.1317718446055499,0.6707420743205303,9
G025_R381_C1133,103.375,-5.375,276,275,0.9963768115942029,0.2878665358066735,0.1413190747711576,0.7255035597167172,9
G025_R381_C1134,103.625,-5.375,276,272,0.9855072463768116,0.3225982784896073,0.1615212920130863,0.7884859473538547,9
G025_R381_C1135,103.875,-5.375,276,266,0.9637681159420289,0.5211898391845012,0.23844537707900093,1.3411207730720691,8
G025_R381_C1143,105.875,-5.375,276,259,0.9384057971014492,1.9987899299126746,2.018638521781851,0.6072242991582696,2
G025_R381_C1144,106.125,-5.375,276,267,0.967391304347826,0.856152751141,0.7287807429084132,0.392448976915006,2
G025_R381_C1145,106.375,-5.375,276,272,0.9855072463768116,0.7003641960797781,0.5781847172580883,0.34932549841650223,2
G025_R381_C1146,106.625,-5.375,276,273,0.9891304347826086,0.6671767645878669,0.5555493052520205,0.37013050246656704,2
G025_R381_C1147,106.875,-5.375,276,269,0.9746376811594203,0.6249042195583717,0.5384819705195173,0.30315243237640654,2
G025_R382_C1132,103.125,-5.625,276,273,0.9891304347826086,0.23405048083089441,0.1228991557793427,0.48626226698328145,9
G025_R382_C1133,103.375,-5.625,276,272,0.9855072463768116,0.26631997285746695,0.132643595503178,0.5997410447935808,9
G025_R382_C1134,103.625,-5.625,276,271,0.9818840579710145,0.3211884775361747,0.1387862682855206,0.8458235102677858,9
G025_R382_C1135,103.875,-5.625,276,268,0.9710144927536232,0.40393614697397207,0.1584296660039194,0.9993631741925815,9
G025_R382_C1136,104.125,-5.625,276,265,0.9601449275362319,0.6705582156379648,0.3100426978825691,1.1610722619514355,8
G025_R382_C1138,104.625,-5.625,276,241,0.8731884057971014,0.658611452473793,0.5830981050408415,0.34956319666263985,1
G025_R382_C1141,105.375,-5.625,276,245,0.8876811594202898,0.7623559608127645,0.654231265780226,0.5508230890179573,7
G025_R382_C1143,105.875,-5.625,276,260,0.9420289855072463,1.2452062473095682,1.2355586581980034,0.49856982106115977,2
G025_R382_C1144,106.125,-5.625,276,268,0.9710144927536232,0.6217490326786194,0.5529433342040844,0.27318872200027094,2
G025_R382_C1145,106.375,-5.625,276,268,0.9710144927536232,0.583917034346427,0.5272069273613142,0.21992604658741347,2
G025_R382_C1146,106.625,-5.625,276,270,0.9782608695652174,0.6072975331812765,0.561338422456621,0.24159419061920792,2
G025_R382_C1147,106.875,-5.625,276,268,0.9710144927536232,0.4743893106303317,0.4437569994893026,0.20821490702682297,2
G025_R383_C1132,103.125,-5.875,276,269,0.9746376811594203,0.20456628321113385,0.1225516483726324,0.39316839252817076,9
G025_R383_C1133,103.375,-5.875,276,267,0.967391304347826,0.2401391081059481,0.1279342046261995,0.4414482650091817,9
G025_R383_C1134,103.625,-5.875,276,270,0.9782608695652174,0.3103812490035478,0.1323868321472649,0.7294957494555261,9
G025_R383_C1135,103.875,-5.875,276,269,0.9746376811594203,0.4139469809238307,0.1443062207239054,1.099988543665598,9
G025_R383_C1136,104.125,-5.875,276,266,0.9637681159420289,0.5009323330757577,0.16954906346710705,1.1987983412657863,8
G025_R383_C1137,104.375,-5.875,276,266,0.9637681159420289,0.7054144188505937,0.31067299481028965,1.2721101376895312,8
G025_R383_C1139,104.875,-5.875,276,269,0.9746376811594203,0.4008395242409401,0.288354282661921,0.32220750341761667,8
G025_R383_C1140,105.125,-5.875,276,271,0.9818840579710145,0.5392301118757526,0.3890150169660359,0.5259616459114842,8
G025_R383_C1141,105.375,-5.875,276,264,0.9565217391304348,0.6716235012289686,0.5714331049191658,0.3553139846507223,7
G025_R383_C1142,105.625,-5.875,276,258,0.9347826086956522,0.7766458392383913,0.6940390485541023,0.39743145937942287,7
G025_R383_C1143,105.875,-5.875,276,261,0.9456521739130435,0.8254930289532556,0.7850063930532566,0.2706042666580315,2
G025_R383_C1144,106.125,-5.875,276,266,0.9637681159420289,1.3335120408585073,1.3320465224833757,0.41712139275639953,7
G025_R383_C1145,106.375,-5.875,276,269,0.9746376811594203,1.705932116641163,1.7019062977317123,0.5242773393063311,7
G025_R383_C1146,106.625,-5.875,276,270,0.9782608695652174,1.6720069242648004,1.5940423853413996,0.7109587217858373,6
G025_R383_C1147,106.875,-5.875,276,267,0.967391304347826,1.9213422678939611,1.6072196811850332,1.234184980317044,2
G025_R384_C1132,103.125,-6.125,276,268,0.9710144927536232,0.2122448901318666,0.12301829977729384,0.40568903387718,9
G025_R384_C1133,103.375,-6.125,276,267,0.967391304347826,0.2545761277278273,0.1289158748773957,0.4777649571080655,8
