series,median_moran_i,q25,q75,proporsi_positif,proporsi_positif_signifikan
Anomali log Chl-a,0.6728395610490243,0.553930837731758,0.7608034284855296,1,1
Log Chl-a,0.8353277547768247,0.8019031601854938,0.8716136330123188,1,1
