horizon,model,n,rmse,mae
1,ARX,3085,0.3419990467948121,0.25719812235821754
1,ARX_spatial,3085,0.3358768899884101,0.25298711391413575
2,ARX,3083,0.38859362665770525,0.29718635224263135
2,ARX_spatial,3083,0.38655483208687913,0.29510043473456515
3,ARX,3073,0.41695985177400524,0.31775207154977325
3,ARX_spatial,3073,0.41695073394908483,0.31773666324487226
