horizon,estimate,std_error,statistic,p_value
1,0.42197539467759687,0.016615574351845748,25.396377262801124,1.2894988061131313e-140
2,0.23295833910609026,0.019493813131591823,11.950373050850487,7.846751246406326e-33
3,0.14440596612361165,0.02117372497748263,6.820054868814124,9.296615905643638e-12
