horizon,predictor,median_correlation,q25,q75
1,sst_anomaly_c,-0.5328653455817658,-0.5740429459135167,-0.45093465150593925
1,u10_anom,-0.30625263454499574,-0.3373828281024598,-0.22575223179377468
1,v10_anom,0.3864550072867941,0.30968232493599235,0.4256921082416972
2,sst_anomaly_c,-0.40635029640652126,-0.4431192046580815,-0.316858445609305
2,u10_anom,-0.21958376975008695,-0.2519151671332881,-0.1776247267325609
2,v10_anom,0.2980231009615151,0.23399172285164785,0.343778904776234
3,sst_anomaly_c,-0.2839832896759743,-0.32548670768326254,-0.22768811082597368
3,u10_anom,-0.1930795094694316,-0.22045071896922738,-0.15736922507471113
3,v10_anom,0.25602035990604666,0.1951403990883103,0.29497009848196
