grid_1,grid_2,distance_degree,neighbor,correlation,distance_group
G025_R380_C1145,G025_R381_C1134,2.7613402542968153,FALSE,0.12540418379411344,"(1.51,Inf]"
G025_R380_C1146,G025_R381_C1134,3.010398644698074,FALSE,0.06362201134734548,"(1.51,Inf]"
G025_R380_C1147,G025_R381_C1134,3.2596012026013246,FALSE,0.025844947724317103,"(1.51,Inf]"
G025_R381_C1132,G025_R381_C1134,0.5,FALSE,0.884628997307083,"(0.26,0.51]"
G025_R381_C1133,G025_R381_C1134,0.25,TRUE,0.9359012644760172,"[0,0.26]"
G025_R380_C1132,G025_R381_C1135,0.7905694150420949,FALSE,0.866844124472685,"(0.76,1.01]"
G025_R380_C1133,G025_R381_C1135,0.5590169943749475,FALSE,0.8831164890400829,"(0.51,0.76]"
G025_R380_C1134,G025_R381_C1135,0.3535533905932738,FALSE,0.897342343024397,"(0.26,0.51]"
G025_R380_C1135,G025_R381_C1135,0.25,TRUE,0.8278034805454634,"[0,0.26]"
G025_R380_C1143,G025_R381_C1135,2.0155644370746373,FALSE,0.06206943284769259,"(1.51,Inf]"
G025_R380_C1144,G025_R381_C1135,2.2638462845343543,FALSE,0.22796586636144284,"(1.51,Inf]"
G025_R380_C1145,G025_R381_C1135,2.5124689052802225,FALSE,0.14715318632601374,"(1.51,Inf]"
G025_R380_C1146,G025_R381_C1135,2.7613402542968153,FALSE,0.04675689323843722,"(1.51,Inf]"
G025_R380_C1147,G025_R381_C1135,3.010398644698074,FALSE,-0.010231366498987964,"(1.51,Inf]"
G025_R381_C1132,G025_R381_C1135,0.75,FALSE,0.8571075754195064,"(0.51,0.76]"
G025_R381_C1133,G025_R381_C1135,0.5,FALSE,0.89167661564902,"(0.26,0.51]"
G025_R381_C1134,G025_R381_C1135,0.25,TRUE,0.9294769025334064,"[0,0.26]"
G025_R380_C1132,G025_R381_C1143,2.7613402542968153,FALSE,0.07852747419080926,"(1.51,Inf]"
G025_R380_C1133,G025_R381_C1143,2.5124689052802225,FALSE,0.0717389001539253,"(1.51,Inf]"
G025_R380_C1134,G025_R381_C1143,2.2638462845343543,FALSE,0.06897892768459533,"(1.51,Inf]"
G025_R380_C1135,G025_R381_C1143,2.0155644370746373,FALSE,0.025052629099634915,"(1.51,Inf]"
G025_R380_C1143,G025_R381_C1143,0.25,TRUE,0.3704591345290173,"[0,0.26]"
G025_R380_C1144,G025_R381_C1143,0.3535533905932738,FALSE,0.38507578922040164,"(0.26,0.51]"
G025_R380_C1145,G025_R381_C1143,0.5590169943749475,FALSE,0.12664492395810495,"(0.51,0.76]"
G025_R380_C1146,G025_R381_C1143,0.7905694150420949,FALSE,0.002347279620017609,"(0.76,1.01]"
G025_R380_C1147,G025_R381_C1143,1.0307764064044151,FALSE,-0.07098325786205308,"(1.01,1.51]"
G025_R381_C1132,G025_R381_C1143,2.75,FALSE,0.10959002801714406,"(1.51,Inf]"
G025_R381_C1133,G025_R381_C1143,2.5,FALSE,0.08121266447699384,"(1.51,Inf]"
