grid_id,lon,lat,own_lag1_correlation,spatial_lag1_correlation
G025_R380_C1132,103.125,-5.125,0.6971521396082865,0.7080987147599238
G025_R380_C1133,103.375,-5.125,0.6329897263677859,0.6671506191198113
G025_R380_C1134,103.625,-5.125,0.5121305773912527,0.6138860499014314
G025_R380_C1135,103.875,-5.125,0.42137936590316255,0.5717299985626403
G025_R380_C1143,105.875,-5.125,0.012264597246435072,0.057425377946058925
G025_R380_C1144,106.125,-5.125,0.09355695558144389,0.09669687297507111
G025_R380_C1145,106.375,-5.125,0.13456303577817458,0.026275614470047684
G025_R380_C1146,106.625,-5.125,0.1718386129283064,0.14727515320571755
G025_R380_C1147,106.875,-5.125,0.19572301872981912,0.1412501074087136
G025_R381_C1132,103.125,-5.375,0.7327618599643321,0.7482239478143167
G025_R381_C1133,103.375,-5.375,0.7329698747399143,0.7142837931224184
G025_R381_C1134,103.625,-5.375,0.6432832866836276,0.6942972025017727
G025_R381_C1135,103.875,-5.375,0.6727916925016351,0.7112917853401
G025_R381_C1143,105.875,-5.375,-0.058108763463012705,-0.04792779868841854
G025_R381_C1144,106.125,-5.375,0.07961554793270291,0.035248951049966774
G025_R381_C1145,106.375,-5.375,0.0020774032396267393,0.016835520690455436
G025_R381_C1146,106.625,-5.375,0.15156352710418425,0.020371306664952602
G025_R381_C1147,106.875,-5.375,0.1188159104883714,0.0912690431766537
G025_R382_C1132,103.125,-5.625,0.6977409374033288,0.6886700300009699
G025_R382_C1133,103.375,-5.625,0.704185099421545,0.7254363231537929
G025_R382_C1134,103.625,-5.625,0.7283699654686202,0.7305782579439819
G025_R382_C1135,103.875,-5.625,0.7448730882334349,0.7386061712962725
G025_R382_C1136,104.125,-5.625,0.6625472323430597,0.7620107836694436
G025_R382_C1138,104.625,-5.625,0.22491714531490195,NA
G025_R382_C1141,105.375,-5.625,0.20038875801430978,0.3416067888109954
G025_R382_C1143,105.875,-5.625,0.020379618526078395,-0.0019500036250264107
G025_R382_C1144,106.125,-5.625,0.03878201302652697,0.020277219327300772
G025_R382_C1145,106.375,-5.625,0.009738819213504862,-0.01233781297333455
G025_R382_C1146,106.625,-5.625,-0.0036113209983231168,0.09204223516598506
G025_R382_C1147,106.875,-5.625,0.10351539201935117,0.09992923775573606
G025_R383_C1132,103.125,-5.875,0.6241242185958614,0.6579975706795627
G025_R383_C1133,103.375,-5.875,0.6870077028783865,0.6929348271847056
G025_R383_C1134,103.625,-5.875,0.7036191788604962,0.7239293690698042
G025_R383_C1135,103.875,-5.875,0.7362385625172752,0.7604853643588729
G025_R383_C1136,104.125,-5.875,0.7600709422677187,0.7341210484998619
G025_R383_C1137,104.375,-5.875,0.6357349733492302,0.6961864391619863
G025_R383_C1139,104.875,-5.875,0.5979646556350754,0.6131126667837624
G025_R383_C1140,105.125,-5.875,0.5911951699007051,0.5881139757329227
G025_R383_C1141,105.375,-5.875,0.4338435848764484,0.4591375949975746
G025_R383_C1142,105.625,-5.875,0.3405781628208627,0.3204013810167326
G025_R383_C1143,105.875,-5.875,0.09488946390572674,0.06901020102046274
G025_R383_C1144,106.125,-5.875,0.06476359574709328,0.04166335813635228
G025_R383_C1145,106.375,-5.875,0.12202434228744045,0.10936488852484384
G025_R383_C1146,106.625,-5.875,-0.002006887093813907,0.03346556219443939
G025_R383_C1147,106.875,-5.875,0.11878651402107823,0.1559174333518227
G025_R384_C1132,103.125,-6.125,0.586304505801301,0.6185196043734963
G025_R384_C1133,103.375,-6.125,0.6564689782832583,0.6630580623337923
G025_R384_C1134,103.625,-6.125,0.6566733895056227,0.6918306770055226
G025_R384_C1135,103.875,-6.125,0.7061286106767115,0.7365305304872111
G025_R384_C1136,104.125,-6.125,0.730406955882526,0.7462662485981486
G025_R384_C1137,104.375,-6.125,0.6869132937884098,0.690113222936284
G025_R384_C1138,104.625,-6.125,0.686982013802329,0.6988047371659885
G025_R384_C1139,104.875,-6.125,0.6728214950977572,0.6640977230680993
G025_R384_C1140,105.125,-6.125,0.5517552594235035,0.5901611707379392
G025_R384_C1141,105.375,-6.125,0.3554463796450247,0.4298814490172072
G025_R384_C1142,105.625,-6.125,0.14391229827329316,0.2500211448764562
G025_R385_C1132,103.125,-6.375,0.6320064994129309,0.6436761377355578
G025_R385_C1133,103.375,-6.375,0.6577113565099802,0.6621751074484507
G025_R385_C1134,103.625,-6.375,0.6781305717504446,0.7017856597200269
G025_R385_C1135,103.875,-6.375,0.705387395230868,0.7047592552716329
G025_R385_C1136,104.125,-6.375,0.7083660168272504,0.7128685090835777
G025_R385_C1137,104.375,-6.375,0.6724703996970023,0.6908963520397202
G025_R385_C1138,104.625,-6.375,0.6769710148136066,0.6713557184028698
G025_R385_C1139,104.875,-6.375,0.5923618030558634,0.6145923293762656
G025_R385_C1140,105.125,-6.375,0.41965284225170163,0.48232153256021526
G025_R385_C1141,105.375,-6.375,0.2919367073707876,0.39583364748797173
G025_R385_C1142,105.625,-6.375,0.15048684525307607,0.07170446651255476
G025_R386_C1132,103.125,-6.625,0.6154064586720562,0.6354592290869467
G025_R386_C1133,103.375,-6.625,0.6341681635854289,0.6583122780771132
G025_R386_C1134,103.625,-6.625,0.6585778078800445,0.6728826127695615
G025_R386_C1135,103.875,-6.625,0.6743799564955154,0.6800940894942097
G025_R386_C1136,104.125,-6.625,0.6792313884357396,0.6900571349593169
G025_R386_C1137,104.375,-6.625,0.624541100003813,0.6705644603968244
G025_R386_C1138,104.625,-6.625,0.5616335769107578,0.5868051656454398
G025_R386_C1139,104.875,-6.625,0.4367173001511946,0.5369798836927097
G025_R386_C1141,105.375,-6.625,0.35811823482386174,0.40289736481944033
G025_R387_C1132,103.125,-6.875,0.6052554803354964,0.6422873607820652
G025_R387_C1133,103.375,-6.875,0.6120378406991283,0.6439311306501976
G025_R387_C1134,103.625,-6.875,0.6269288662420914,0.635394445382223
G025_R387_C1135,103.875,-6.875,0.6374185359458294,0.6599411763478616
G025_R387_C1136,104.125,-6.875,0.6654120071302821,0.6690921250520298
G025_R387_C1137,104.375,-6.875,0.6003885077766938,0.6467794306970723
G025_R387_C1138,104.625,-6.875,0.5966947318079524,0.6166214491017767
G025_R387_C1139,104.875,-6.875,0.5489179252792914,0.5742969603056369
G025_R387_C1140,105.125,-6.875,0.48430336826223314,0.5271678152645961
G025_R387_C1141,105.375,-6.875,0.4018889055363418,0.45851358229999883
G025_R387_C1142,105.625,-6.875,0.3179617384808475,0.38229563310887693
G025_R387_C1143,105.875,-6.875,0.2800651329949387,0.3686544156758672
G025_R388_C1132,103.125,-7.125,0.6440204118310222,0.6537131679333432
G025_R388_C1133,103.375,-7.125,0.6111850238161466,0.6375926993645439
G025_R388_C1134,103.625,-7.125,0.6112203895758956,0.6413233093133239
G025_R388_C1135,103.875,-7.125,0.6157303718996431,0.6375539066271909
G025_R388_C1136,104.125,-7.125,0.6096746585465657,0.671575144878921
G025_R388_C1137,104.375,-7.125,0.6091272018262801,0.6180873337212662
G025_R388_C1138,104.625,-7.125,0.5826797196945184,0.6195574199203164
G025_R388_C1139,104.875,-7.125,0.6305705217456627,0.6467927561640519
G025_R388_C1140,105.125,-7.125,0.540632927224296,0.6151159085575444
G025_R388_C1141,105.375,-7.125,0.5607899807199523,0.5723465410927381
G025_R388_C1142,105.625,-7.125,0.5366578104002399,0.5653127782216241
G025_R388_C1143,105.875,-7.125,0.5288390312417671,0.5468780686654395
G025_R388_C1144,106.125,-7.125,0.5502516508638384,0.5834586602989305
G025_R388_C1145,106.375,-7.125,0.4343222835146525,0.4971270968399796
G025_R389_C1132,103.125,-7.375,0.6246446236072909,0.6515340626281553
G025_R389_C1133,103.375,-7.375,0.5907443746822438,0.6111289820104271
G025_R389_C1134,103.625,-7.375,0.5862544411889243,0.6225296290065487
G025_R389_C1135,103.875,-7.375,0.6080836984455364,0.650199109518385
G025_R389_C1136,104.125,-7.375,0.6299506027439064,0.6548811905414282
G025_R389_C1137,104.375,-7.375,0.6025253983343359,0.6360591686955914
G025_R389_C1138,104.625,-7.375,0.6071050126026918,0.6285057386915668
G025_R389_C1139,104.875,-7.375,0.6028128860080324,0.6335440437895651
G025_R389_C1140,105.125,-7.375,0.5834101993413627,0.6063152603616307
G025_R389_C1141,105.375,-7.375,0.5680320945767774,0.5881027711420517
G025_R389_C1142,105.625,-7.375,0.5579557467162233,0.5610308005567315
G025_R389_C1143,105.875,-7.375,0.5655826790814319,0.5793541311106136
G025_R389_C1144,106.125,-7.375,0.5843241744445405,0.5845609806622668
G025_R389_C1145,106.375,-7.375,0.4160526808667318,0.4734524872281114
G025_R390_C1132,103.125,-7.625,0.6297635834168311,0.6532780470900406
G025_R390_C1133,103.375,-7.625,0.6285457806908936,0.6543306325753223
G025_R390_C1134,103.625,-7.625,0.6448896650107846,0.6388849947135504
G025_R390_C1135,103.875,-7.625,0.6345204802116681,0.6507018753248579
G025_R390_C1136,104.125,-7.625,0.6274903290919325,0.6617444146490639
G025_R390_C1137,104.375,-7.625,0.601934659561838,0.6438915812685624
G025_R390_C1138,104.625,-7.625,0.5922395781455791,0.6378303051003097
G025_R390_C1139,104.875,-7.625,0.6019116491990766,0.6512955623595335
G025_R390_C1140,105.125,-7.625,0.5944157915164303,0.624798849530708
G025_R390_C1141,105.375,-7.625,0.5804123838494927,0.6156458837487729
G025_R390_C1142,105.625,-7.625,0.5990221413699113,0.6211049141455847
G025_R390_C1143,105.875,-7.625,0.6108680260096547,0.6354966086883005
G025_R390_C1144,106.125,-7.625,0.5950225887025169,0.6212654397519689
G025_R390_C1145,106.375,-7.625,0.5594520389647555,0.5824254303532098
G025_R390_C1146,106.625,-7.625,0.5344054864717752,0.5610456607855707
G025_R390_C1147,106.875,-7.625,0.4837461203800943,0.5164327489024035
G025_R391_C1132,103.125,-7.875,0.587379278833911,0.6346768292403677
G025_R391_C1133,103.375,-7.875,0.5859309045408206,0.6291487578215851
G025_R391_C1134,103.625,-7.875,0.5697636533462461,0.6271539495432689
