month,n_grids,n_sst_available,n_anomaly_available,mean_sst_c,mean_sst_anomaly_c,mean_valid_day_fraction,n_sst_missing,sst_availability_fraction
2003-01-01,148,148,148,29.002943975154274,0.47707278694739885,1.0,0,1.0
2003-02-01,148,148,148,28.68748489724163,0.09070945747779198,1.0,0,1.0
2003-03-01,148,148,148,28.644589596243662,-0.33344593805925954,1.0,0,1.0
2003-04-01,148,148,148,29.81731687021685,0.5838468334243239,1.0,0,1.0
2003-05-01,148,148,148,29.24508435183644,0.06284219536275878,1.0,0,1.0
2003-06-01,148,148,148,28.564920539254544,-0.2734391825202315,1.0,0,1.0
2003-07-01,148,148,148,26.989354252503453,-1.276048357272074,1.0,0,1.0
2003-08-01,148,148,148,26.762002452727288,-1.069348275043158,1.0,0,1.0
2003-09-01,148,148,148,27.91750389734904,0.18498422967496553,1.0,0,1.0
2003-10-01,148,148,148,28.241607917529556,0.15637750301709838,1.0,0,1.0
2003-11-01,148,148,148,28.417170540491735,-0.04275675581533227,1.0,0,1.0
2003-12-01,148,148,148,28.196581766931725,-0.3147210039912115,1.0,0,1.0
2004-01-01,148,148,148,28.542168095513023,0.016150827581304872,1.0,0,1.0
2004-02-01,148,148,148,28.351982140696617,-0.2506011127397064,1.0,0,1.0
2004-03-01,148,148,148,28.680916995303775,-0.29705535511526016,1.0,0,1.0
2004-04-01,148,148,148,29.407553398716555,0.1740450406967251,1.0,0,1.0
2004-05-01,148,148,148,28.959404330931235,-0.22278770138676024,1.0,0,1.0
2004-06-01,148,148,148,28.856379994400985,0.018020270141428926,1.0,0,1.0
2004-07-01,148,148,148,28.346950125257763,0.08167392941989139,1.0,0,1.0
2004-08-01,148,148,148,27.773737401055996,-0.05765475010468505,1.0,0,1.0
2004-09-01,148,148,148,28.15499487223926,0.42242116114787487,1.0,0,1.0
2004-10-01,148,148,148,27.901581774614332,-0.1835658194459877,1.0,0,1.0
2004-11-01,148,148,148,28.6403732265438,0.18049323929112976,1.0,0,1.0
2004-12-01,148,148,148,28.417495012075463,-0.09381865526962807,1.0,0,1.0
2005-01-01,148,148,148,28.75198497913563,0.22587401394828915,1.0,0,1.0
2005-02-01,148,148,148,29.47405577534414,0.8724275862390864,1.0,0,1.0
2005-03-01,148,148,148,29.818279620555554,0.8412510702506669,1.0,0,1.0
2005-04-01,148,148,148,29.34908492543676,0.11559233981654514,1.0,0,1.0
2005-05-01,148,148,148,29.75472686887307,0.5725065256556643,1.0,0,1.0
2005-06-01,148,148,148,28.981186306154406,0.14288062703090945,1.0,0,1.0
2005-07-01,148,148,148,28.83885943588217,0.5734393932246022,1.0,0,1.0
2005-08-01,148,148,148,28.285659791701963,0.4544136772766943,1.0,0,1.0
2005-09-01,148,148,148,28.458506111626154,0.7259234067384019,1.0,0,1.0
2005-10-01,148,148,148,28.72560745877812,0.6402419198421337,1.0,0,1.0
2005-11-01,148,148,148,28.592251616984875,0.13235585305311187,1.0,0,1.0
2005-12-01,148,148,148,28.572978899389533,0.061588926089776515,1.0,0,1.0
2006-01-01,148,148,148,28.281060840320674,-0.24512205166180323,1.0,0,1.0
2006-02-01,148,148,148,28.598718002496078,-0.0028040539329461565,1.0,0,1.0
2006-03-01,148,148,148,29.012603973448535,0.03546643362615222,1.0,0,1.0
2006-04-01,148,148,148,28.491030918155705,-0.742545028262025,1.0,0,1.0
2006-05-01,148,148,148,29.533323222694964,0.3510701749546887,1.0,0,1.0
2006-06-01,148,148,148,29.1849587990357,0.34671620758594357,1.0,0,1.0
2006-07-01,148,148,148,28.019918739431922,-0.24538142443086497,1.0,0,1.0
2006-08-01,148,148,148,26.973225205279267,-0.858223606121857,1.0,0,1.0
2006-09-01,148,148,148,25.932393571063205,-1.8001508605792313,1.0,0,1.0
2006-10-01,148,148,148,26.327529932170094,-1.7578334367660269,1.0,0,1.0
2006-11-01,148,148,148,27.44724712328868,-1.0126215980178466,1.0,0,1.0
2006-12-01,148,148,148,28.355450542885627,-0.15589581211540057,1.0,0,1.0
2007-01-01,148,148,148,28.851634061326127,0.3255405329020065,1.0,0,1.0
2007-02-01,148,148,148,29.711700579374455,1.1100892594073355,1.0,0,1.0
2007-03-01,148,148,148,28.849923073985625,-0.1271229263386139,1.0,0,1.0
2007-04-01,148,148,148,29.016102950207824,-0.21738738229598947,1.0,0,1.0
2007-05-01,148,148,148,29.34812269152614,0.16584786025355805,1.0,0,1.0
2007-06-01,148,148,148,29.241325908953,0.40292341379146723,1.0,0,1.0
2007-07-01,148,148,148,28.279153704539322,0.013831734322352497,1.0,0,1.0
2007-08-01,148,148,148,27.427985442859146,-0.403376189807516,1.0,0,1.0
2007-09-01,148,148,148,26.717229129172658,-1.0153400671727082,1.0,0,1.0
2007-10-01,148,148,148,27.83451986728592,-0.2506407963387252,1.0,0,1.0
2007-11-01,148,148,148,28.843551167067105,0.38379954053592436,1.0,0,1.0
2007-12-01,148,148,148,28.88486205336314,0.37360722717886696,1.0,0,1.0
2008-01-01,148,148,148,28.693443128308115,0.1675392284939827,1.0,0,1.0
2008-02-01,148,148,148,28.67428876747067,0.07195479773854678,1.0,0,1.0
2008-03-01,148,148,148,28.5494130491275,-0.42868133241500717,1.0,0,1.0
2008-04-01,148,148,148,29.012873222591644,-0.22068693184730098,1.0,0,1.0
2008-05-01,148,148,148,28.84626788810324,-0.3358827293302406,1.0,0,1.0
2008-06-01,148,148,148,28.06603990846926,-0.7723513332346605,1.0,0,1.0
2008-07-01,148,148,148,26.935075680484122,-1.330324728136075,1.0,0,1.0
2008-08-01,148,148,148,26.92486208713668,-0.9064406937547677,1.0,0,1.0
2008-09-01,148,148,148,28.186456581493758,0.4538108007290174,1.0,0,1.0
2008-10-01,148,148,148,27.81103903787907,-0.27425457109106866,1.0,0,1.0
2008-11-01,148,148,148,28.748436304040855,0.2884752181308293,1.0,0,1.0
2008-12-01,148,148,148,28.490581332442027,-0.020714908075838003,1.0,0,1.0
2009-01-01,148,148,148,28.767521173515423,0.241525713110354,1.0,0,1.0
2009-02-01,148,148,148,28.567388380356274,-0.034177122724828625,1.0,0,1.0
2009-03-01,148,148,148,28.81334506685877,-0.16379467783814072,1.0,0,1.0
2009-04-01,148,148,148,29.206837188875355,-0.026734233667302095,1.0,0,1.0
2009-05-01,148,148,148,29.653911707810764,0.4716913575434825,1.0,0,1.0
2009-06-01,148,148,148,29.575303367236714,0.7369842171748714,1.0,0,1.0
2009-07-01,148,148,148,29.017641008056138,0.7523256145066921,1.0,0,1.0
2009-08-01,148,148,148,28.64125481167355,0.8098866412482681,1.0,0,1.0
2009-09-01,148,148,148,28.37622684100727,0.6436216064657478,1.0,0,1.0
2009-10-01,148,148,148,28.78257781688088,0.6973931834596162,1.0,0,1.0
2009-11-01,148,148,148,29.23136871483949,0.7715517831899159,1.0,0,1.0
