month,grid_id,lon,lat,oisst_lon,oisst_lat,sst_c,sst_anomaly_c,n_valid_days,n_days_total,valid_day_fraction,source_status
2024-01-01,G025_R380_C1132,103.125,-5.125,103.125,-5.125,29.174838158392138,0.5858064342530505,31,31,1.0,ok
2024-01-01,G025_R380_C1133,103.375,-5.125,103.375,-5.125,29.02838651595577,0.457096763736298,31,31,1.0,ok
2024-01-01,G025_R380_C1134,103.625,-5.125,103.625,-5.125,28.847741157777847,0.2951612825835905,31,31,1.0,ok
2024-01-01,G025_R380_C1135,103.875,-5.125,103.875,-5.125,28.72612848589497,0.19322580327430078,31,31,1.0,ok
2024-01-01,G025_R380_C1143,105.875,-5.125,105.875,-5.125,29.23870904984013,0.8303225564379846,31,31,1.0,ok
2024-01-01,G025_R380_C1144,106.125,-5.125,106.125,-5.125,29.345805814189294,0.9474193256708884,31,31,1.0,ok
2024-01-01,G025_R380_C1145,106.375,-5.125,106.375,-5.125,29.5148381263979,1.1270967548893345,31,31,1.0,ok
2024-01-01,G025_R380_C1146,106.625,-5.125,106.625,-5.125,29.639354090536795,1.2558064278095,31,31,1.0,ok
2024-01-01,G025_R380_C1147,106.875,-5.125,106.875,-5.125,29.678063854094475,1.2906451321417285,31,31,1.0,ok
2024-01-01,G025_R381_C1132,103.125,-5.375,103.125,-5.375,29.269676577660345,0.6867741721291696,31,31,1.0,ok
2024-01-01,G025_R381_C1133,103.375,-5.375,103.375,-5.375,29.175805676367975,0.6070967558771372,31,31,1.0,ok
2024-01-01,G025_R381_C1134,103.625,-5.375,103.625,-5.375,29.00967696405226,0.4548387028757603,31,31,1.0,ok
2024-01-01,G025_R381_C1135,103.875,-5.375,103.875,-5.375,28.826450963174143,0.2870967692785686,31,31,1.0,ok
2024-01-01,G025_R381_C1143,105.875,-5.375,105.875,-5.375,29.234837931971395,0.8009677250539103,31,31,1.0,ok
2024-01-01,G025_R381_C1144,106.125,-5.375,106.125,-5.375,29.3454833492156,0.9219354621825679,31,31,1.0,ok
2024-01-01,G025_R381_C1145,106.375,-5.375,106.375,-5.375,29.51580589048324,1.103870939823889,31,31,1.0,ok
2024-01-01,G025_R381_C1146,106.625,-5.375,106.625,-5.375,29.63741850083874,1.227741910565284,31,31,1.0,ok
2024-01-01,G025_R381_C1147,106.875,-5.375,106.875,-5.375,29.659353933026715,1.2470967461985927,31,31,1.0,ok
2024-01-01,G025_R382_C1132,103.125,-5.625,103.125,-5.625,29.311934686476185,0.7341935341396639,31,31,1.0,ok
2024-01-01,G025_R382_C1133,103.375,-5.625,103.375,-5.625,29.26935411268665,0.701290309849766,31,31,1.0,ok
2024-01-01,G025_R382_C1134,103.625,-5.625,103.625,-5.625,29.151612066453502,0.5941935296981565,31,31,1.0,ok
2024-01-01,G025_R382_C1135,103.875,-5.625,103.875,-5.625,28.976450950868667,0.4345161183587005,31,31,1.0,ok
2024-01-01,G025_R382_C1136,104.125,-5.625,104.125,-5.625,28.845805691134544,0.31645160402742123,31,31,1.0,ok
2024-01-01,G025_R382_C1138,104.625,-5.625,104.625,-5.625,28.762580071726152,0.2606451552241079,31,31,1.0,ok
2024-01-01,G025_R382_C1141,105.375,-5.625,105.375,-5.625,28.665483105567194,0.19516128421791137,31,31,1.0,ok
2024-01-01,G025_R382_C1143,105.875,-5.625,105.875,-5.625,29.220644612466135,0.7687096566923203,31,31,1.0,ok
2024-01-01,G025_R382_C1144,106.125,-5.625,106.125,-5.625,29.336773657029674,0.89258062647235,31,31,1.0,ok
