month,raw_subset,status,n_daily_files
2007-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2007\oisst_daily_subset_200702_v1.nc,ok,28
2007-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2007\oisst_daily_subset_200703_v1.nc,ok,31
2007-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2007\oisst_daily_subset_200704_v1.nc,ok,30
2007-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2007\oisst_daily_subset_200705_v1.nc,ok,31
2007-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2007\oisst_daily_subset_200706_v1.nc,ok,30
2007-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2007\oisst_daily_subset_200707_v1.nc,ok,31
2007-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2007\oisst_daily_subset_200708_v1.nc,ok,31
2007-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2007\oisst_daily_subset_200709_v1.nc,ok,30
2007-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2007\oisst_daily_subset_200710_v1.nc,ok,31
2007-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2007\oisst_daily_subset_200711_v1.nc,ok,30
2007-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2007\oisst_daily_subset_200712_v1.nc,ok,31
2008-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200801_v1.nc,ok,31
2008-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200802_v1.nc,ok,29
2008-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200803_v1.nc,ok,31
2008-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200804_v1.nc,ok,30
2008-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200805_v1.nc,ok,31
2008-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200806_v1.nc,ok,30
2008-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200807_v1.nc,ok,31
2008-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200808_v1.nc,ok,31
2008-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200809_v1.nc,ok,30
2008-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200810_v1.nc,ok,31
2008-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200811_v1.nc,ok,30
2008-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2008\oisst_daily_subset_200812_v1.nc,ok,31
2009-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200901_v1.nc,ok,31
2009-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200902_v1.nc,ok,28
2009-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200903_v1.nc,ok,31
2009-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200904_v1.nc,ok,30
2009-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200905_v1.nc,ok,31
2009-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200906_v1.nc,ok,30
2009-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200907_v1.nc,ok,31
2009-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200908_v1.nc,ok,31
2009-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200909_v1.nc,ok,30
2009-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200910_v1.nc,ok,31
2009-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200911_v1.nc,ok,30
2009-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2009\oisst_daily_subset_200912_v1.nc,ok,31
2010-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201001_v1.nc,ok,31
2010-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201002_v1.nc,ok,28
2010-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201003_v1.nc,ok,31
2010-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201004_v1.nc,ok,30
2010-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201005_v1.nc,ok,31
2010-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201006_v1.nc,ok,30
2010-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201007_v1.nc,ok,31
2010-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201008_v1.nc,ok,31
2010-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201009_v1.nc,ok,30
2010-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201010_v1.nc,ok,31
2010-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201011_v1.nc,ok,30
2010-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2010\oisst_daily_subset_201012_v1.nc,ok,31
2011-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201101_v1.nc,ok,31
2011-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201102_v1.nc,ok,28
2011-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201103_v1.nc,ok,31
2011-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201104_v1.nc,ok,30
2011-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201105_v1.nc,ok,31
2011-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201106_v1.nc,ok,30
2011-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2011\oisst_daily_subset_201107_v1.nc,ok,31
